category,n,mean_shap,median_shap,mean_abs_shap,direction
142.0,4,0.009311042885914746,0.01165546246445003,0.028426245029784282,higher_exit_risk
316.0,213,0.00683134120303916,-0.018596957602295485,0.04567573781127009,higher_exit_risk
242.0,22,0.003930268197967526,-0.0009298767862081442,0.026974610416239952,higher_exit_risk
733.0,86,0.0008196104211248856,-0.014392138047178215,0.03428545962173525,higher_exit_risk
120.0,116,-0.0005398290969086577,-0.008722630876275698,0.02319600868218692,lower_exit_risk
831.0,64,-0.004445466900050257,-0.009667441703161798,0.024359992068916207,lower_exit_risk
743.0,1,-0.008084393680475963,-0.008084393680475963,0.008084393680475963,lower_exit_risk
24.0,7,-0.01293912642870575,0.0119308372640784,0.036736488630718746,lower_exit_risk
811.0,4,-0.028793455082566262,-0.03206421519800311,0.042546699875092985,lower_exit_risk
722.0,1,-0.047693276469114365,-0.047693276469114365,0.047693276469114365,lower_exit_risk
181.0,4,-0.06934168444129259,-0.059002070215115804,0.0693416844412926,lower_exit_risk
113.0,3,-0.07187795270261006,-0.043431216004429334,0.07187795270261006,lower_exit_risk
184.0,3,-0.07273384992443042,-0.054546688617272354,0.07273384992443042,lower_exit_risk
431.0,1,-0.07475065984305648,-0.07475065984305648,0.07475065984305648,lower_exit_risk
231.0,2,-0.07995332802647254,-0.07995332802647254,0.07995332802647254,lower_exit_risk
812.0,20,-0.08129990488184094,-0.0686228313547871,0.08129990488184094,lower_exit_risk
111.0,4,-0.0815062818624342,-0.0710545200194159,0.0815062818624342,lower_exit_risk
171.0,7,-0.08233359104482049,-0.062162750281150723,0.0823335910448205,lower_exit_risk
157.0,2,-0.08465330024028425,-0.08465330024028425,0.08465330024028425,lower_exit_risk
233.0,9,-0.08497332242107009,-0.06618253496220036,0.0849733224210701,lower_exit_risk
843.0,38,-0.08686930154382351,-0.08020649216119903,0.08686930154382352,lower_exit_risk
211.0,3,-0.08745448351094183,-0.1102684200628258,0.08745448351094183,lower_exit_risk
145.0,12,-0.09368418797859429,-0.052557479547453045,0.09368418797859429,lower_exit_risk
131.0,54,-0.09707667631728005,-0.12298434221372112,0.0995647090842624,lower_exit_risk
815.0,7,-0.10102335772775901,-0.0850967613997298,0.10102335772775901,lower_exit_risk
161.0,11,-0.11209111638470139,-0.09953660795377509,0.11209111638470139,lower_exit_risk
