model,group_col,group_value,n,event_rate,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
xgboost,age_group,55-64,5141,0.09103287298191014,0.6515992032790663,0.17263755484786802,0.0,0.08165399806134427,0.2264957264957265,2.2609990872126793,0.3504273504273504,1.7507745466929139
xgboost,age_group,65+,4076,0.16732090284592738,0.5754144799257617,0.20812049810001332,0.002898550724637681,0.13998378074637483,0.1495601173020528,1.4941348973607038,0.2697947214076246,1.3476510838939681
xgboost,weekly_hours_group,1-19,451,0.19290465631929046,0.6677403056713401,0.307984164203825,0.0784313725490196,0.15141812570666585,0.1724137931034483,1.6904047976011995,0.3333333333333333,1.652014652014652
xgboost,weekly_hours_group,20-29,435,0.16091954022988506,0.6287279843444227,0.2436201133147126,0.0,0.13220249359247488,0.17142857142857143,1.6948051948051948,0.3142857142857143,1.5714285714285716
xgboost,weekly_hours_group,30-34,384,0.109375,0.5935672514619884,0.1407855492924888,0.0,0.0991017880968688,0.14285714285714285,1.4065934065934067,0.2619047619047619,1.3061224489795917
xgboost,weekly_hours_group,35-39,141,0.0851063829787234,0.6046511627906976,0.16848274855980988,0.0,0.07868341473743846,0.3333333333333333,3.1333333333333333,0.4166666666666667,2.0258620689655173
xgboost,weekly_hours_group,40+,1529,0.08960104643557881,0.64463251950667,0.150428421730133,0.0,0.0802762180667945,0.17518248175182483,1.7506798339773866,0.32116788321167883,1.6047898478126041
xgboost,weekly_hours_group,nan,24123,0.08485677569124901,0.7371698607811553,0.1934033500115986,0.018155757286192068,0.07361334743575733,0.2598925256472887,2.5981713204266663,0.44894968246213973,2.2445623191780717
xgboost,firm_size_group,1-person,430,0.1186046511627907,0.6515598323762224,0.1854635807784419,0.0,0.10487741141210073,0.11764705882352941,1.1764705882352942,0.3137254901960784,1.5686274509803921
xgboost,firm_size_group,2+-person,26633,0.08801111403146472,0.7308678175923959,0.19668182287338332,0.019110926464478605,0.07615991207236544,0.2593856655290102,2.593175086349148,0.4372866894197952,2.186269269629699
catboost,age_group,15-24,604,0.2251655629139073,0.6340183509301157,0.348519072745017,0.20809248554913296,0.169096722990109,0.20588235294117646,2.038572806171649,0.33088235294117646,1.651677199805542
catboost,age_group,25-54,17242,0.06431968449135832,0.7518824165468099,0.16980715412221986,0.0017985611510791368,0.056964410754053584,0.3011722272317403,3.010325531553429,0.4932371505861136,2.4657567267050653
catboost,age_group,55-64,5141,0.09103287298191014,0.6698871129108664,0.18887512742980012,0.0,0.08020583274497252,0.23504273504273504,2.3463198074848557,0.38461538461538464,1.921581819541003
