model,calibration_method,threshold_rule,selected_threshold,valid_f1,valid_precision,valid_recall,valid_positive_prediction_rate,test_f1,test_precision,test_recall,test_positive_prediction_rate
catboost,platt,top10_valid_cutoff,0.1695560355492111,0.2608193883439123,0.2610704659222179,0.2605687932359723,0.1000346673856939,0.2412550349798601,0.2450473729543497,0.2375782881002087,0.0857998004655803
catboost,platt,top20_valid_cutoff,0.1226190157764507,0.2809493264913406,0.2108607741190063,0.4208301306687164,0.2000308154539501,0.268467707893626,0.2024617996604414,0.3983298538622129,0.1741122565864833
catboost,isotonic,default_0.5,0.5,0.0038328861632809,0.7142857142857143,0.0019215987701767,0.0002696352220638,0.0,0.0,0.0,3.6950818460628905e-05
catboost,isotonic,best_f1_valid,0.1492537313432836,0.2867054382205897,0.1951659952771218,0.5399692544196771,0.2773005662339663,0.2725873818421631,0.1849917947187826,0.5177453027139874,0.2476813361415955
catboost,isotonic,top10_valid_cutoff,0.1948818897637795,0.2728249194414608,0.2553619302949061,0.2928516525749423,0.1149416432340818,0.2468842729970326,0.2345864661654135,0.2605427974947808,0.0982891771052728
catboost,isotonic,top20_valid_cutoff,0.1492537313432836,0.2867054382205897,0.1951659952771218,0.5399692544196771,0.2773005662339663,0.2725873818421631,0.1849917947187826,0.5177453027139874,0.2476813361415955
hybrid_stack,raw,default_0.5,0.5,0.2896490448689471,0.2036863480162449,0.5011529592621061,0.2466006702361234,0.2736391299447763,0.1874035196048163,0.5068893528183716,0.239367401987954
hybrid_stack,raw,best_f1_valid,0.5138572023071446,0.2923221413477342,0.210446247464503,0.47847809377402,0.2278802819614036,0.2739266011033821,0.1921588423355207,0.4768267223382046,0.2195987141115175
hybrid_stack,raw,top10_valid_cutoff,0.6505778966339544,0.2631275245239469,0.2633808240277243,0.2628747117601844,0.1000346673856939,0.2496488059401966,0.2403400309119011,0.2597077244258872,0.0956287181761076
hybrid_stack,raw,top20_valid_cutoff,0.5367616753581429,0.2860808210391276,0.2147121124590795,0.4285165257494235,0.2000308154539501,0.2735762199131921,0.1996927803379416,0.4342379958246347,0.1924398625429553
hybrid_stack,platt,default_0.5,0.5,0.0,0.0,0.0,7.703863487539e-05,0.0,0.0,0.0,3.6950818460628905e-05
hybrid_stack,platt,best_f1_valid,0.1258211286888805,0.2923221413477342,0.210446247464503,0.47847809377402,0.2278802819614036,0.2739266011033821,0.1921588423355207,0.4768267223382046,0.2195987141115175
hybrid_stack,platt,top10_valid_cutoff,0.2018459729420367,0.2631275245239469,0.2633808240277243,0.2628747117601844,0.1000346673856939,0.2496488059401966,0.2403400309119011,0.2597077244258872,0.0956287181761076
hybrid_stack,platt,top20_valid_cutoff,0.136578821908993,0.2860808210391276,0.2147121124590795,0.4285165257494235,0.2000308154539501,0.2735762199131921,0.1996927803379416,0.4342379958246347,0.1924398625429553
hybrid_stack,isotonic,default_0.5,0.5,0.0091568103777184,0.631578947368421,0.0046118370484242,0.0007318670313162,0.0066252587991718,0.4,0.0033402922755741,0.0007390163692125
hybrid_stack,isotonic,best_f1_valid,0.1587174348697395,0.2923221413477342,0.210446247464503,0.47847809377402,0.2278802819614036,0.2739266011033821,0.1921588423355207,0.4768267223382046,0.2195987141115175
hybrid_stack,isotonic,top10_valid_cutoff,0.1975708502024291,0.2776412776412776,0.2554909560723514,0.3039969254419677,0.1192558067871037,0.2594339622641509,0.2293872313121591,0.2985386221294363,0.1151757011417802
hybrid_stack,isotonic,top20_valid_cutoff,0.1587174348697395,0.2923221413477342,0.210446247464503,0.47847809377402,0.2278802819614036,0.2739266011033821,0.1921588423355207,0.4768267223382046,0.2195987141115175
